comment_id,video_id,author,text,like_count,published_at,reply_count,is_reply,cleaned_text
Ugxn9cxQWT2N3gqoWO94AaABAg,j2qUj7a0ja8,@anjaliibaghel,Pheli baar full body me dekha dhruv rathee ko 😂,2,2026-02-02T12:37:49Z,0,False,pheli baar full body me dekha dhruv rathee ko
Ugz6CUg7-dKACYnQEVx4AaABAg,j2qUj7a0ja8,@gammingpro15,Keep it up bro 💕 You Are In 🔥❤😮,7,2026-01-30T18:10:51Z,0,False,keep it up bro you are in
UgwpNbZmhfA5P98-9wh4AaABAg,j2qUj7a0ja8,@monkeybhaiya2404,"I must say, sir, that I have a deep appreciation for the excellent piece of work that you have produced. I find it to be truly commendable, and I wish to express my gratitude for the effort and skill that you have clearly put into it, resulting in such a remarkable outcome.",7,2026-01-30T15:34:16Z,0,False,"i must say, sir, that i have a deep appreciation for the excellent piece of work that you have produced. i find it to be truly commendable, and i wish to express my gratitude for the effort and skill that you have clearly put into it, resulting in such a remarkable outcome."
UgxD5nDgX9qY8SgyAyp4AaABAg,j2qUj7a0ja8,@Syed-Asad-Sh,"Nailed it Bhai ❤ you're on the fire and boosting your entrepreneur business!
Keep growing like this😊😊😊",9,2026-01-30T19:11:53Z,0,False,nailed it bhai youre on the fire and boosting your entrepreneur business! keep growing like this
UgzJSfTR3smo5qM4svF4AaABAg,j2qUj7a0ja8,@Thepublic99h,ध्रुव का आज बोलने का अंदाज़ और जिस तरह से ये वीडियो में बात करता है मैं  ये 100 % श्योरिटी से बोल सकता हूँ ये वीडियो  टैलिप्राम्प्टर से रीड करके  रिकॉर्ड करता है ये कुछ गलत नहीं है क्यूंकि वास्तव  में मैं खुद ध्रुव का हर वीडियो देखता हूँ और ध्रुव को बहुत पसंद करता हूँ ये मेरे पसंदीदा Youtuber हैं,25,2026-01-30T16:04:08Z,6,False,youtuber
UgzJSfTR3smo5qM4svF4AaABAg.ASbWpNywursASbjMX1Mlzz,j2qUj7a0ja8,@faizanabbasi5652,He's introvert bro,8,2026-01-30T18:02:23Z,0,True,hes introvert bro
UgzJSfTR3smo5qM4svF4AaABAg.ASbWpNywursAScDki_qtg-,j2qUj7a0ja8,@server_master7,You are 🤡in social media 😅,0,2026-01-30T22:36:42Z,0,True,you are in social media
UgzJSfTR3smo5qM4svF4AaABAg.ASbWpNywursASce6oXY2Ol,j2qUj7a0ja8,@mrvikash1650,Public speaking me halat kharab ho jati hai bhai,3,2026-01-31T02:35:47Z,0,True,public speaking me halat kharab ho jati hai bhai
UgzJSfTR3smo5qM4svF4AaABAg.ASbWpNywursASdDBnhpTOw,j2qUj7a0ja8,@ankitk_here,"Jb koi problem ni h, toh point out kyo kr rhe ho",0,2026-01-31T07:51:03Z,0,True,"jb koi problem ni h, toh point out kyo kr rhe ho"
UgzJSfTR3smo5qM4svF4AaABAg.ASbWpNywursASdHO_Pf1-K,j2qUj7a0ja8,@mahe-sh,Kyu ki data ka accuracy ko bhi dhyan dena hota hai ...,2,2026-01-31T08:27:44Z,0,True,kyu ki data ka accuracy ko bhi dhyan dena hota hai ...
