comment_id,video_id,author,text,like_count,published_at,reply_count,is_reply
UgwNl5TswBGLF1zMkBB4AaABAg.ASbrMEQYnyKASd5h9Cup1Z,j2qUj7a0ja8,@Jebesniper,tu chomu he agar isko tu AI manta he 😂😂😂😂,48,2026-01-31T06:45:33Z,0,True
UgwNl5TswBGLF1zMkBB4AaABAg.ASbrMEQYnyKASdDCBNupui,j2qUj7a0ja8,@subtlesight-i7,@Jebesniper 😱😱😂😂😂😂😂😂,1,2026-01-31T07:51:06Z,0,True
UgwNl5TswBGLF1zMkBB4AaABAg.ASbrMEQYnyKASdL6t-e6TV,j2qUj7a0ja8,@PW-URANIUM-OFFICIAL,​@Jebesniper manna kya h nam me hi ai hai 😂,4,2026-01-31T09:00:17Z,0,True
UgygJ05HoLN0P35UXpZ4AaABAg,j2qUj7a0ja8,@RamanSingh-po4sx,Dhruv rahti respect ❤❤❤❤ love you bro ❤❤,7,2026-01-31T11:43:12Z,0,False
UgyLRYzz0F03fEFTNeR4AaABAg,j2qUj7a0ja8,@Surjo_Personal,"A thing I want to point out, please use the term ""Affordable"" instead of ""Cheap""

The Tata Nano failed because of this mistake",77,2026-01-31T07:47:35Z,3,False
UgyLRYzz0F03fEFTNeR4AaABAg.ASdCnSHsBDBASdbsfZB8vP,j2qUj7a0ja8,@Jasim_R09,"When it's come to business, euphemism doesn't matter bro...",2,2026-01-31T11:35:29Z,0,True
UgyLRYzz0F03fEFTNeR4AaABAg.ASdCnSHsBDBASktGKbPiEi,j2qUj7a0ja8,@AlphaRJ6,nano failed bcx of consumers😂,0,2026-02-03T07:22:05Z,0,True
UgyLRYzz0F03fEFTNeR4AaABAg.ASdCnSHsBDBAT0s9urLUxs,j2qUj7a0ja8,@Nicechap-x7p,Nano failed because it was a shitty product,0,2026-02-09T21:39:34Z,0,True
UgyhygrQGJtWi5Fkfjx4AaABAg,j2qUj7a0ja8,@mahlawat12,Probably one of the few people from India who has decent frontal lobe. Good work.,6,2026-02-01T03:00:31Z,0,False
UgxFy5zFaL1anT-gXC94AaABAg,j2qUj7a0ja8,@premkumarafficial,I proud of you 💪 becouse u r indian people,45,2026-01-31T02:12:39Z,0,False
